transaction_id,amount,reason_code,merchant_category,days_since_transaction,account_age_days,previous_chargebacks_count,customer_communication_count,has_delivery_confirmation,has_signed_receipt,refund_already_issued,avs_match,cvv_match,won_dispute
TXN100126,105.57,product_not_received,digital_goods,52,2391,0,1,0,0,0,1,1,1
TXN100127,527.63,fraud,travel,15,825,1,1,1,0,0,0,0,0
TXN100128,293.65,fraud,apparel,50,2140,0,3,0,1,0,1,1,1
TXN100129,124.13,duplicate_charge,electronics,52,279,0,1,1,0,1,1,1,1
TXN100130,265.4,fraud,electronics,65,750,0,0,1,0,0,1,1,1
TXN100131,359.52,credit_not_processed,subscription,99,2229,0,1,0,0,0,1,1,0
TXN100132,139.12,duplicate_charge,travel,119,333,0,2,0,1,1,1,1,0
TXN100133,284.33,product_not_received,apparel,41,1252,1,2,0,1,0,1,1,1
TXN100134,257.8,duplicate_charge,subscription,110,851,3,2,1,0,1,1,1,0
TXN100135,62.56,fraud,subscription,51,251,0,2,0,1,0,0,1,1
TXN100136,139.7,credit_not_processed,subscription,15,589,1,2,1,0,0,1,1,1
TXN100137,445.84,product_unacceptable,general,72,1337,0,0,1,1,0,1,1,1
TXN100138,517.95,subscription_cancelled,general,87,1576,0,3,0,0,1,1,1,0
TXN100139,295.26,fraud,apparel,36,1688,0,2,1,0,0,0,1,1
TXN100140,102.8,product_unacceptable,subscription,71,328,0,2,1,0,0,1,1,0
TXN100141,20.37,product_unacceptable,digital_goods,52,799,1,2,1,0,0,1,1,1
TXN100142,92.12,credit_not_processed,digital_goods,18,260,0,1,0,1,0,1,1,1
TXN100143,55.43,product_unacceptable,travel,46,23,0,4,0,0,0,1,0,0
TXN100144,467.36,product_unacceptable,travel,51,976,1,0,0,1,0,1,1,1
TXN100145,32.95,product_not_received,digital_goods,41,1554,0,2,1,1,0,1,1,1
TXN100146,64.06,product_not_received,general,109,927,1,0,1,1,0,1,1,1
TXN100147,190.82,product_unacceptable,apparel,47,100,0,1,1,1,0,1,1,1
TXN100148,163.59,product_not_received,electronics,75,549,0,2,0,1,0,1,1,1
TXN100149,431.59,fraud,electronics,2,1081,0,1,0,1,0,1,1,1
TXN100150,247.06,subscription_cancelled,subscription,38,889,1,0,1,1,0,1,1,1
TXN100151,147.37,credit_not_processed,digital_goods,106,2061,1,1,0,0,0,1,1,1
TXN100152,367.86,fraud,digital_goods,107,1494,0,3,1,1,0,1,1,1
TXN100153,121.45,product_unacceptable,travel,117,2497,0,2,1,1,0,1,1,1
TXN100154,454.58,fraud,digital_goods,7,438,0,1,1,0,1,1,0,1
TXN100155,82.31,duplicate_charge,travel,103,925,1,0,0,0,1,1,1,0
TXN100156,159.27,product_not_received,electronics,32,218,0,1,0,0,0,1,1,1
TXN100157,23.61,duplicate_charge,electronics,1,50,1,5,1,1,0,1,1,1
TXN100158,305.56,subscription_cancelled,general,12,2309,0,4,0,1,0,1,1,1
TXN100159,183.24,subscription_cancelled,digital_goods,90,1232,0,1,1,0,0,1,1,1
TXN100160,455.38,fraud,apparel,71,1649,0,1,1,0,0,1,1,1
TXN100161,135.93,credit_not_processed,digital_goods,69,690,1,1,1,1,1,1,1,0
TXN100162,47.64,product_not_received,digital_goods,105,128,1,2,1,0,0,1,1,1
TXN100163,225.74,fraud,apparel,12,2231,1,3,0,1,0,1,1,0
TXN100164,108.04,product_unacceptable,apparel,10,1646,0,2,0,0,0,0,1,1
TXN100165,276.75,product_not_received,subscription,112,1778,1,2,1,0,0,1,1,1
TXN100166,83.74,subscription_cancelled,electronics,73,1333,0,4,0,0,0,0,1,0
TXN100167,403.36,subscription_cancelled,apparel,93,1010,1,2,0,0,0,1,1,1
TXN100168,172.51,product_not_received,digital_goods,63,1055,0,3,1,0,1,1,1,1
TXN100169,147.8,credit_not_processed,travel,18,1905,0,2,1,0,1,1,1,1
TXN100170,385.87,product_not_received,general,63,568,0,3,0,1,1,1,1,1
TXN100171,308.59,product_unacceptable,general,115,853,1,3,1,1,0,1,1,1
TXN100172,93.43,product_not_received,apparel,15,768,0,3,0,1,0,1,1,0
TXN100173,302.65,credit_not_processed,travel,16,1304,1,1,1,0,0,0,1,1
TXN100174,261.96,fraud,electronics,42,2419,0,0,1,0,1,1,1,0
TXN100175,154.03,fraud,travel,55,2306,1,3,1,0,0,1,1,1
TXN100176,286.47,product_not_received,electronics,75,1362,0,1,1,1,0,1,1,1
TXN100177,402.19,credit_not_processed,electronics,19,500,1,0,0,0,0,1,1,1
TXN100178,157.4,credit_not_processed,subscription,112,2351,1,1,1,1,0,0,1,1
TXN100179,157.79,subscription_cancelled,apparel,18,782,0,0,0,1,0,1,0,1
TXN100180,151.54,credit_not_processed,digital_goods,24,890,0,1,1,0,0,1,0,1
TXN100181,90.41,credit_not_processed,electronics,116,2213,0,1,0,0,0,1,0,1
TXN100182,156.2,product_unacceptable,subscription,45,658,1,0,0,1,0,1,1,1
TXN100183,143.7,product_not_received,subscription,69,1154,0,2,0,1,1,1,1,0
TXN100184,137.54,subscription_cancelled,travel,52,2291,0,0,1,0,0,0,1,1
TXN100185,135.99,duplicate_charge,general,31,794,0,2,1,1,0,1,1,1
TXN100186,63.91,product_not_received,digital_goods,61,1560,0,0,1,0,0,1,0,1
TXN100187,329.46,fraud,apparel,93,93,0,1,1,1,0,1,0,1
TXN100188,105.44,subscription_cancelled,electronics,2,2488,0,0,1,0,0,0,0,0
TXN100189,417.05,product_not_received,apparel,105,1047,2,3,1,1,0,1,1,1
TXN100190,76.11,credit_not_processed,apparel,22,1675,1,0,0,0,1,1,1,0
TXN100191,479.83,product_not_received,apparel,110,1251,0,3,1,1,0,1,1,1
TXN100192,126.0,fraud,apparel,115,1084,0,0,1,1,0,1,0,1
TXN100193,305.12,subscription_cancelled,travel,112,1015,1,2,1,0,0,1,1,0
TXN100194,181.97,fraud,electronics,78,44,0,1,1,0,0,1,1,0
TXN100195,56.54,fraud,travel,108,693,1,3,0,0,0,1,1,1
TXN100196,59.2,duplicate_charge,digital_goods,103,951,1,3,0,1,0,1,1,1
TXN100197,98.63,credit_not_processed,subscription,77,922,1,2,1,1,0,0,0,0
TXN100198,120.61,fraud,travel,107,683,0,4,0,0,0,1,1,1
TXN100199,161.07,product_not_received,general,41,1606,1,1,1,0,0,1,1,1
TXN100200,210.54,subscription_cancelled,digital_goods,100,2072,1,0,0,1,1,1,1,0
TXN100201,145.98,credit_not_processed,apparel,111,2228,0,3,0,1,0,1,1,1
TXN100202,202.71,product_unacceptable,travel,76,2430,0,0,0,0,0,1,1,0
TXN100203,226.42,fraud,travel,15,1624,1,1,1,1,0,1,1,1
TXN100204,141.19,fraud,digital_goods,26,1027,1,0,1,0,0,1,1,1
TXN100205,259.05,product_not_received,travel,21,1615,0,2,1,0,1,1,1,1
TXN100206,299.19,fraud,digital_goods,64,330,0,1,1,1,0,1,1,0
TXN100207,230.45,duplicate_charge,apparel,52,2042,1,1,0,1,1,1,1,1
TXN100208,239.57,fraud,apparel,99,1337,1,0,1,0,0,1,1,1
TXN100209,190.19,product_unacceptable,general,34,412,0,2,1,0,0,1,1,1
TXN100210,348.67,duplicate_charge,subscription,20,1064,0,6,1,0,0,0,1,1
TXN100211,163.79,duplicate_charge,electronics,74,752,0,0,1,0,0,1,1,1
TXN100212,100.05,fraud,general,17,873,0,5,1,1,0,1,1,1
TXN100213,167.34,subscription_cancelled,subscription,108,126,0,1,0,0,0,0,0,0
TXN100214,57.4,duplicate_charge,electronics,10,40,1,1,0,0,1,1,1,0
TXN100215,51.53,subscription_cancelled,subscription,59,874,1,0,1,1,0,0,1,1
TXN100216,300.15,fraud,travel,113,754,0,1,0,0,0,1,1,0
TXN100217,421.48,fraud,general,66,2497,1,3,0,0,0,1,1,0
TXN100218,129.01,credit_not_processed,digital_goods,97,656,0,3,0,1,0,1,1,1
TXN100219,302.08,product_not_received,travel,51,823,0,3,0,0,1,1,1,0
TXN100220,29.3,product_not_received,apparel,90,2288,0,2,1,0,0,1,1,1
TXN100221,230.95,product_unacceptable,apparel,85,2149,1,1,0,0,0,0,1,0
TXN100222,164.27,duplicate_charge,travel,62,142,0,1,1,1,0,1,1,1
TXN100223,466.72,credit_not_processed,subscription,12,214,1,3,1,1,0,1,1,1
TXN100224,147.91,product_not_received,general,116,237,1,1,0,0,1,1,1,0
TXN100225,71.49,credit_not_processed,subscription,6,1149,0,1,0,0,0,1,1,0
TXN100226,45.4,fraud,travel,43,1431,0,2,0,1,0,1,1,1
TXN100227,167.25,product_unacceptable,travel,77,878,0,0,0,0,0,1,1,0
TXN100228,189.92,duplicate_charge,digital_goods,92,32,0,1,0,0,0,1,1,1
TXN100229,141.31,fraud,subscription,64,503,0,4,1,0,0,1,0,1
TXN100230,306.6,fraud,apparel,48,1536,0,2,0,0,0,1,1,1
TXN100231,392.09,product_not_received,apparel,49,931,0,3,1,1,0,1,1,1
TXN100232,127.95,credit_not_processed,general,117,308,0,3,1,0,0,1,1,1
TXN100233,34.54,duplicate_charge,travel,40,1628,0,4,0,0,0,1,1,1
TXN100234,203.53,credit_not_processed,digital_goods,102,1533,0,3,0,1,0,0,1,1
TXN100235,353.29,subscription_cancelled,general,7,1225,0,1,0,1,0,1,1,1
TXN100236,128.38,product_unacceptable,general,79,2350,0,1,0,0,0,1,1,1
TXN100237,239.54,subscription_cancelled,apparel,81,2110,0,2,1,1,0,1,1,1
TXN100238,67.17,fraud,travel,81,99,0,3,1,1,0,1,1,1
TXN100239,200.09,fraud,digital_goods,51,2262,0,2,0,0,0,1,1,1
TXN100240,242.55,subscription_cancelled,subscription,83,124,1,1,0,1,1,1,1,1
TXN100241,204.05,subscription_cancelled,general,53,1204,0,1,0,1,1,1,1,0
TXN100242,547.07,product_not_received,travel,71,2254,0,2,1,0,0,0,1,0
TXN100243,418.16,product_unacceptable,subscription,107,2454,0,0,1,1,0,1,1,1
TXN100244,269.68,duplicate_charge,travel,81,56,0,1,1,1,0,1,1,1
TXN100245,331.6,credit_not_processed,general,88,180,1,1,1,0,0,1,1,1
TXN100246,199.11,duplicate_charge,digital_goods,116,603,2,0,1,0,0,1,1,1
TXN100247,159.07,product_not_received,digital_goods,27,690,1,1,1,1,0,1,1,1
TXN100248,118.24,product_not_received,digital_goods,70,698,1,2,0,0,0,1,1,1
TXN100249,65.96,product_not_received,general,79,1041,0,0,1,0,1,1,1,0
TXN100250,430.81,duplicate_charge,travel,83,797,0,2,1,1,1,1,1,1
TXN100251,560.86,credit_not_processed,electronics,16,1456,0,1,1,1,0,1,1,1
TXN100252,170.16,product_unacceptable,electronics,91,2134,0,2,1,0,0,1,1,1
TXN100253,172.27,product_not_received,travel,24,1364,1,2,1,0,0,1,1,1
TXN100254,249.49,product_not_received,subscription,49,829,1,2,1,1,0,1,1,1
TXN100255,148.41,subscription_cancelled,digital_goods,85,1419,0,2,0,1,0,1,1,1
TXN100256,73.21,subscription_cancelled,travel,32,1551,0,0,1,0,0,0,1,1
TXN100257,55.93,fraud,subscription,15,2240,0,1,0,0,0,0,1,0
TXN100258,548.18,fraud,travel,81,2368,0,2,0,0,0,1,1,1
TXN100259,39.28,duplicate_charge,general,34,693,0,0,0,0,1,1,1,0
TXN100260,209.49,fraud,travel,99,2295,0,4,1,0,0,1,1,1
TXN100261,44.08,subscription_cancelled,subscription,107,2042,1,0,1,1,0,1,1,0
TXN100262,153.84,product_not_received,subscription,42,320,1,0,1,0,1,1,1,1
TXN100263,127.46,fraud,travel,88,1395,0,1,1,1,0,1,1,1
TXN100264,50.69,credit_not_processed,electronics,27,380,2,0,1,1,0,1,1,1
TXN100265,255.44,fraud,digital_goods,111,1226,1,4,1,1,0,1,1,1
TXN100266,68.99,product_not_received,electronics,30,111,1,2,0,0,0,1,1,1
TXN100267,44.93,fraud,travel,105,748,0,1,1,1,0,1,1,1
TXN100268,274.77,fraud,electronics,94,1470,1,2,0,0,0,1,0,0
TXN100269,127.89,fraud,travel,38,760,0,1,0,0,0,1,1,0
TXN100270,91.57,fraud,digital_goods,99,25,0,1,1,1,0,1,1,1
TXN100271,286.23,fraud,electronics,76,971,0,0,0,1,0,1,1,1
TXN100272,66.08,fraud,electronics,80,1352,1,0,1,1,0,1,1,1
TXN100273,35.42,duplicate_charge,travel,46,1908,0,1,1,0,0,1,1,1
TXN100274,375.07,duplicate_charge,electronics,28,341,0,2,1,1,0,0,1,1
TXN100275,499.38,product_not_received,general,83,1191,1,2,1,0,0,1,1,1
TXN100276,150.86,product_not_received,subscription,7,496,0,1,1,1,1,1,1,0
TXN100277,149.38,product_unacceptable,subscription,42,384,1,1,1,0,0,1,1,0
TXN100278,297.32,credit_not_processed,apparel,17,304,1,1,1,1,0,1,1,1
TXN100279,350.56,subscription_cancelled,subscription,1,1899,0,0,1,1,1,1,1,1
TXN100280,72.54,fraud,travel,1,2298,0,2,1,0,0,0,1,1
TXN100281,132.65,fraud,digital_goods,12,1658,0,0,1,1,0,1,1,1
TXN100282,198.16,product_not_received,electronics,112,945,0,4,1,1,0,1,1,1
TXN100283,285.87,product_not_received,travel,92,2373,0,0,1,0,0,1,0,1
TXN100284,265.71,product_unacceptable,subscription,118,1242,0,1,1,0,0,1,0,1
TXN100285,237.42,product_not_received,electronics,10,1323,0,2,0,0,0,1,0,1
TXN100286,349.96,fraud,electronics,119,1586,0,1,0,0,0,1,1,0
TXN100287,158.9,product_not_received,digital_goods,72,1636,0,1,1,0,0,1,1,1
TXN100288,433.39,product_unacceptable,travel,95,1230,1,1,1,1,0,1,1,1
TXN100289,108.23,fraud,digital_goods,103,1198,0,5,1,0,0,0,1,1
TXN100290,268.54,subscription_cancelled,digital_goods,32,794,1,4,0,0,0,1,1,1
TXN100291,120.62,fraud,apparel,89,1701,0,1,0,1,0,1,1,1
TXN100292,152.49,credit_not_processed,electronics,78,1680,0,2,1,1,1,1,0,0
TXN100293,170.5,fraud,electronics,50,1090,1,0,1,0,0,0,1,0
TXN100294,115.47,subscription_cancelled,electronics,59,1780,0,1,1,1,0,1,1,1
TXN100295,360.11,credit_not_processed,subscription,25,344,0,1,0,0,0,1,1,0
TXN100296,125.14,credit_not_processed,subscription,23,1040,1,1,1,1,1,1,1,1
TXN100297,164.24,subscription_cancelled,digital_goods,110,2466,1,4,1,0,0,1,1,0
TXN100298,247.53,subscription_cancelled,electronics,88,1834,0,0,1,0,0,1,1,1
TXN100299,703.18,duplicate_charge,digital_goods,68,1800,0,0,0,1,0,0,1,0
TXN100300,253.73,subscription_cancelled,general,83,2158,1,1,1,0,0,1,0,1
TXN100301,174.84,fraud,apparel,49,1521,0,3,1,0,0,1,1,1
TXN100302,30.09,product_unacceptable,digital_goods,30,1656,1,2,1,0,0,1,1,1
TXN100303,149.52,product_unacceptable,travel,113,1203,0,1,1,0,0,1,1,1
TXN100304,100.23,subscription_cancelled,apparel,118,2065,0,3,1,1,0,1,1,1
TXN100305,131.34,product_unacceptable,digital_goods,26,1778,0,0,0,0,0,0,1,0
TXN100306,118.72,product_not_received,digital_goods,96,1308,0,0,1,0,0,1,1,1
TXN100307,245.84,duplicate_charge,digital_goods,53,316,0,1,1,1,0,0,1,1
TXN100308,147.2,product_not_received,subscription,85,2015,0,2,1,0,0,1,1,0
TXN100309,82.29,fraud,travel,13,815,1,1,1,0,1,1,1,1
TXN100310,305.71,product_unacceptable,electronics,58,897,1,1,1,0,0,1,1,1
TXN100311,60.37,product_not_received,electronics,15,311,0,2,1,1,0,1,1,1
TXN100312,169.13,product_not_received,digital_goods,97,542,0,1,0,0,0,1,1,0
TXN100313,150.32,product_not_received,general,48,315,1,1,1,1,0,0,1,1
TXN100314,213.77,product_not_received,electronics,32,243,0,4,0,1,0,1,1,1
TXN100315,352.38,product_not_received,electronics,84,53,0,3,0,0,0,1,1,0
TXN100316,772.24,product_not_received,subscription,114,736,0,1,1,1,0,1,1,1
TXN100317,174.76,duplicate_charge,digital_goods,41,1889,0,0,0,1,0,1,1,1
TXN100318,98.95,product_not_received,apparel,86,2159,0,1,0,1,0,1,1,1
TXN100319,91.63,credit_not_processed,apparel,83,568,2,1,1,1,0,1,1,1
TXN100320,91.29,credit_not_processed,travel,59,1059,0,0,0,0,0,1,1,0
TXN100321,208.35,product_unacceptable,travel,96,2080,0,2,1,0,0,1,1,1
TXN100322,24.01,product_not_received,travel,16,1767,0,2,0,1,0,0,1,1
TXN100323,57.29,product_unacceptable,apparel,105,2261,0,1,1,0,0,0,1,1
TXN100324,208.49,subscription_cancelled,travel,49,1051,1,2,1,0,0,1,1,0
TXN100325,315.94,duplicate_charge,general,6,421,0,1,1,0,1,1,1,0
TXN100326,317.19,subscription_cancelled,apparel,118,358,0,1,1,0,1,1,1,0
TXN100327,180.71,product_unacceptable,digital_goods,93,1772,0,2,1,1,0,1,1,1
TXN100328,289.19,duplicate_charge,electronics,98,65,2,1,0,0,0,1,1,1
TXN100329,356.46,product_not_received,travel,18,1150,1,2,0,1,0,1,1,1
TXN100330,123.72,subscription_cancelled,electronics,90,883,1,1,1,0,0,0,0,1
TXN100331,332.74,fraud,apparel,84,2297,0,2,1,0,1,1,1,0
TXN100332,41.72,duplicate_charge,subscription,108,2495,0,0,1,0,0,1,1,1
